protein_ids	protein_names	gene_names	uniprot_ids	refset_protein_ids	refseq_mrna_id	ensembl_id	mgi_id	protein_length	protein_copynumber	protein_halflife	mrna_copynumber	mrna_halflife	transcription_rate	translation_rate
IPI00153103.3	Aminoacyl tRNA synthetase complex-interacting multifunctional protein 2;Multisynthetase complex auxiliary component p38;Protein JTV-1	Aimp2;Jtv1	Q8R010	NA	NA	ENSMUST00000031613	MGI:2385237	320	883253.99	78.69	"NA"	"NA"	"NA"	"NA"
IPI00405227.3;IPI00623058.4	Vinculin;Metavinculin	Vcl	Q64727	NP_033528	NM_009502	ENSMUST00000022369	MGI:98927	1066	825457.58	63	63.740000000000002	12.84	4.7699999999999996	444.81
IPI00112719.1	Delta-aminolevulinic acid dehydratase;Porphobilinogen synthase	Alad;Lv	P10518;O89061;Q8VCZ1;Q9DD05	NP_032551	NM_008525	ENSMUST00000030090;ENSMUST00000107444	MGI:96853	330	775413.31	154.56	34.920000000000002	13.9	2.4700000000000002	619.79999999999995
IPI00663627.1	Filamin-B;Beta-filamin;Actin-binding-like protein;ABP-280-like protein	Flnb	Q80X90;Q3T9V9	NP_598841	NM_134080	ENSMUST00000052678	MGI:2446089	2602	768468.07	81.03	80.200000000000003	20.050000000000001	4.4900000000000002	307.69999999999999
IPI00222972.5;IPI00673974.1	Tubulin-specific chaperone A;Tubulin-folding cofactor A;TCP1-chaperonin cofactor A	Tbca	P48428;Q5I0U7	NP_033347	NM_009321	ENSMUST00000046644	MGI:107549	108	646728.43	66.49	76.299999999999997	14.08	5.4100000000000001	286.38
IPI00858249.1;IPI00856164.1	Putative uncharacterized protein;Eif4g1 protein	Eif4g1	Q3UZD9;A0PJB5;Q3UQI5;Q6EVH9;Q8BUW8	NP_001005331	NM_001005331	ENSMUST00000044783;ENSMUST00000115461;ENSMUST00000073840;ENSMUST00000115463	MGI:2384784;MGI:2384784	1594	613512.81	35.05	152.93000000000001	17.809999999999999	9.2200000000000006	173.71000000000001
IPI00284094.4	Cytosolic acyl coenzyme A thioester hydrolase;Long chain acyl-CoA thioester hydrolase;Acyl-CoA thioesterase 7;CTE-IIa;Brain acyl-CoA hydrolase	Acot7;Bach	Q91V12-2;Q91V12	NA	NA	ENSMUST00000030779;ENSMUST00000075363;ENSMUST00000105652	MGI:1917275	338	722032.74	148.61	"NA"	"NA"	"NA"	"NA"
IPI00331163.9;IPI00515371.1	S-phase kinase-associated protein 1;S-phase kinase-associated protein 1A;Cyclin A/CDK2-associated protein p19;p19skp1;p19A	Skp1;Skp1a	Q9WTX5;Q3TL58;Q5SUR3	NP_035673	NM_011543	ENSMUST00000037324;ENSMUST00000109072	MGI:103575	163	918066.77	35.54	55.740000000000002	12.75	4.21	705.64999999999998
IPI00116074.1	Aconitate hydratase, mitochondrial;Citrate hydro-lyase	Aco2	Q99KI0	NP_542364	NM_080633	ENSMUST00000023116	MGI:87880	780	806312.42	706.59	69.989999999999995	18.210000000000001	4.5999999999999996	"NA"
IPI00461933.2;IPI00133886.1;IPI00554858.2;IPI00471078.1	Protein CutA;Brain acetylcholinesterase putative membrane anchor	Cuta	Q9CQ89-1;Q9CQ89;Q9CQ89-3	NP_080583;NP_081224	NM_026307	ENSMUST00000025027	MGI:1914925;MGI:1914925	177	272633.88	189.87	31.5	10.890000000000001	2.6600000000000001	238.49000000000001
IPI00454016.5;IPI00461623.1;IPI00128518.1	S-adenosylmethionine synthetase isoform type-2;Methionine adenosyltransferase 2;Mat2a protein	Mat2a	Q3THS6;Q3TED1;Q3TSS0;Q3UAP7;Q3UZA2;Q99J57;Q6PE05	NP_663544	NM_145569	ENSMUST00000059472;ENSMUST00000066627	MGI:2443731;MGI:2443731	395	786968.82	35.08	80.060000000000002	2.75	21.690000000000001	416.94
IPI00111829.1;IPI00649823.2	Probable rRNA-processing protein EBP2;EBNA1 binding protein 2	Ebna1bp2;Ebp2;RP23-154A15.1-004	Q9D903;A2ACZ1	NP_081208	NM_026932	ENSMUST00000030501;ENSMUST00000106362	MGI:1916322;MGI:1916322	306	507676.68	28.56	22.27	16.670000000000002	1.4099999999999999	1084.29
IPI00663587.1;IPI00474144.1;IPI00130885.1	Putative uncharacterized protein;RNA binding motif protein, X chromosome retrogene;Rbmxrt protein;Heterogeneous nuclear ribonucleoprotein G;RNA-binding motif protein, X chromosome	Rbmxrt;Rbmx;Hnrnpg;Hnrpg;Rbmxp1	Q91VM5;O35479	NP_033059	NM_009033	ENSMUST00000049245	MGI:1343045;MGI:1343045	388	726118.59	167.16	30.579999999999998	5.04	4.7999999999999998	651.23000000000002
IPI00132456.1	UPF0568 protein C14orf166 homolog	2700060E02Rik;mCG_140066	Q9CQE8;Q4VA29	NP_080804	NM_026528	ENSMUST00000022341	MGI:1915295	244	709062.92	67.87	15.08	16.039999999999999	0.96999999999999997	1579.4000000000001
IPI00120374.1	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	Ppp2ca	P63330	NP_062284	NM_019411	ENSMUST00000020608	MGI:1321159	309	1048594.68	42.4	92.040000000000006	8.9600000000000009	8.9900000000000002	450.87
IPI00111695.1;IPI00112621.1	60S ribosomal protein L7-like 1	Rpl7l1	Q9D8M4;Q3U8B9;Q99L18	NP_079709	NM_025433	ENSMUST00000078286	MGI:1913479	246	409202.69	8.6	39.700000000000003	8.6400000000000006	4	1064.01
IPI00115679.1;IPI00403058.1;IPI00421253.1	Neutral alpha-glucosidase AB;Glucosidase II subunit alpha;Alpha-glucosidase 2	Ganab;G2an;Kiaa0088	Q8BHN3-2;Q8BHN3;A1A4T2;Q3UE86;Q9R1N7;Q8BHN3-1;Q9R1N6;Q8BHN3-3	NP_032086	NM_008060	ENSMUST00000096246;ENSMUST00000096247	MGI:1097667;MGI:1097667;MGI:1097667	966	863264.28	129.25	69.379999999999995	17.75	4.1900000000000004	360.62
IPI00120322.1;IPI00762610.1;IPI00170052.2	Eukaryotic translation initiation factor 3 subunit K;Eukaryotic translation initiation factor 3 subunit 12;eIF-3 p25;Putative uncharacterized protein	Eif3k;Eif3s12	Q9DBZ5-1;Q9DBZ5;Q9DBZ5-2;Q3TY56	NP_082935	NM_028659	ENSMUST00000066070;ENSMUST00000108260;ENSMUST00000098615	MGI:1921080;MGI:1921080;MGI:1921080	218	827794.61	39.77	131.81999999999999	15.06	8.8699999999999992	256.07999999999998
IPI00399958.3	Putative uncharacterized protein	Calu	Q3TL33;Q6XLQ8	NP_908942	NM_184053	ENSMUST00000090481	MGI:1097158	315	940011.44	68.16	161.71000000000001	20.43	8.9700000000000006	202.62
IPI00265025.5	Galactokinase;Galactose kinase	Galk1;Galk;Glk	Q9R0N0;Q80UL3;Q9CWW5;Q9CXZ9;Q9JIA6	NP_058601	NM_016905	ENSMUST00000021114	MGI:95730	392	697479.66	251.46	52.060000000000002	17.23	3.2000000000000002	355.02999999999997
IPI00122353.1;IPI00115680.1	Glucosidase 2 subunit beta;Glucosidase II subunit beta;Protein kinase C substrate 60.1 kDa protein heavy chain;80K-H protein	Prkcsh	O08795-2;O08795;Q3TWG2;Q9WVP2;O08795-1;Q3U518;Q9R1N5	NP_032951	NM_008925	ENSMUST00000003493;ENSMUST00000115331	MGI:107877;MGI:107877	528	543495.47	91.67	74.200000000000003	18.789999999999999	4.3600000000000003	227.19999999999999
IPI00136151.4;IPI00881386.1;IPI00882029.1	Ribosome maturation protein SBDS;Shwachman-Bodian-Diamond syndrome protein homolog;Protein 22A3	Sbds	P70122	NP_075737	NM_023248	ENSMUST00000026387	MGI:1913961	250	406204.33	37.95	22.120000000000001	5.9800000000000004	3	758.86000000000001
IPI00313817.1;IPI00882349.1;IPI00880309.1;IPI00131646.2	Hepatoma-derived growth factor	Hdgf;Tdrm1	P51859	NP_032257	NM_008231	ENSMUST00000005017	MGI:1194494	237	916169.29	119.85	123.97	17.59	10.84	154.44
IPI00889811.1;IPI00475154.1;IPI00754992.1	Putative uncharacterized protein;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit;Ribophorin-2;Ribophorin II	Rpn2;RP23-163J20.6-002	Q3U505;Q9DBG6;Q61833;A2ACG7	NP_062616	NM_019642	ENSMUST00000103128;ENSMUST00000116380;ENSMUST00000029171	MGI:98085;MGI:98085;MGI:98085	675	924200.87	67.26	93.010000000000005	26.48	4.46	335.32999999999998
IPI00117978.1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial;Cytochrome c oxidase subunit IV isoform 1;Cytochrome c oxidase polypeptide IV	Cox4i1;Cox4;Cox4a	P19783;A2RSV8	NP_034071	NM_009941	ENSMUST00000034276	MGI:88473	169	945088.55	172.45	196.87	15.220000000000001	13.199999999999999	132.25
IPI00114416.1;IPI00331692.1	3,2-trans-enoyl-CoA isomerase, mitochondrial;Dodecenoyl-CoA isomerase;Delta(3),Delta(2)-enoyl-CoA isomerase;Dci protein;Dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenyme A isomerase);Putative uncharacterized protein	Dci;mCG_12836	P42125;Q8QZV3;Q9DBN7	NP_034153	NM_010023	ENSMUST00000024946	MGI:94871;MGI:94871	289	533718.98	314.06	19.329999999999998	9.5800000000000001	2.6400000000000001	"NA"
IPI00828976.1;IPI00320399.6;IPI00464348.1	Putative uncharacterized protein;Lamina-associated polypeptide 2, isoforms beta/delta/epsilon/gamma;Thymopoietin isoforms beta/delta/epsilon/gamma	Tmpo;Lap2	Q3U7B3;Q3U955;Q3UCI5;Q3UR33;Q61029-1;Q61029;Q78WP6	NP_001073598	NM_001080129	ENSMUST00000020123;ENSMUST00000072239;ENSMUST00000092219;ENSMUST00000099355;ENSMUST00000105293;ENSMUST00000099357	MGI:106920;MGI:106920;MGI:106920	452	606862.23	96.29	29.34	9.3200000000000003	2.7799999999999998	631.62
IPI00125091.1;IPI00649913.1;IPI00648086.1;IPI00649463.1;IPI00649088.1;IPI00648767.1;IPI00648482.1;IPI00649199.1;IPI00648929.1;IPI00649510.1;IPI00120023.1;IPI00649222.1	LIM and SH3 domain protein 1;MLN 50;LIM and SH3 protein 1	Lasp1;Mln50;RP23-386E10.6-011;RP23-386E10.6-010;RP23-386E10.6-005;RP23-386E10.6-006;RP23-386E10.6-007	Q61792;Q543N3;A2A6H0;A2A6G9;A2A6G8;A2A6G7;A2A6G6	NP_034818	NM_010688	ENSMUST00000043843;ENSMUST00000107572	MGI:109656;MGI:109656;MGI:109656;MGI:109656;MGI:109656;MGI:109656	263	620328.33	309.62	43.520000000000003	12.91	3.25	390.13
IPI00467447.3;	Ras GTPase-activating-like protein IQGAP1	Iqgap1	Q9JKF1;Q05CQ4;Q3TPD2;Q3TR56;Q3TU98;Q6ZQK2;Q80UW7;Q8BPA6;Q8CC64;Q8CDT3;Q8CDW9;Q8CGH5;Q9D408	NP_057930	NM_016721	ENSMUST00000032751	MGI:1352757	1657	823142.94	73.27	69.319999999999993	16.239999999999998	4.4699999999999998	392.14999999999998
IPI00930878.1;IPI00405114.2;IPI00133206.1;IPI00758064.1;IPI00919258.1	Putative uncharacterized protein;Proteasome (Prosome, macropain) 26S subunit ATPase 3;26S protease regulatory subunit 6A;Proteasome 26S subunit ATPase 3;TAT-binding protein 1	Psmc3;RP23-263H8.1-009;Tbp1;RP23-263H8.1-002	Q3THI5;Q3TKC2;Q3TKG4;Q3U8Y7;Q3UD94;Q99JN8;B7ZCF1;Q8BUP7;O88685;A2AGN7	NP_032974	NM_008948	ENSMUST00000002171;ENSMUST00000067663;ENSMUST00000111441	MGI:1098754;MGI:1098754;MGI:1098754;MGI:1098754	442	888666.34	54.48	87.819999999999993	13.49	6.3499999999999996	365.31999999999999
IPI00273096.7	Aldose reductase-related protein 2;Aldehyde reductase;Fibroblast growth factor-regulated protein;Protein FR-1	Akr1b8;Fgfrp	P45377	NP_032038	NM_008012	ENSMUST00000038406	MGI:107673	316	750912.22	144.03	46.310000000000002	10.07	4.1399999999999997	462.51999999999998
IPI00230715.5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13;NADH-ubiquinone oxidoreductase B16.6 subunit;Complex I-B16.6;Gene associated with retinoic-interferon-induced mortality 19 protein;Cell death regulatory protein GRIM-19	Ndufa13;Grim19	Q9ERS2	NP_075801	NM_023312	ENSMUST00000110167	MGI:1914434	144	455842.44	53.54	25.530000000000001	22.109999999999999	1.3500000000000001	649.02999999999997
IPI00230394.5	Lamin-B1	Lmnb1	P14733;Q8C553	NP_034851	NM_010721	ENSMUST00000025486	MGI:96795	588	569914.43	114.16	24.09	7.1399999999999997	2.8199999999999998	702.97000000000003
IPI00132039.2;IPI00750596.1;IPI00754142.1;IPI00807902.1;IPI00894752.1	Mitochondrial carrier homolog 2;Putative uncharacterized protein;Mitochondrial carrier homolog 2 (C. elegans);Mtch2 protein	Mtch2;RP23-147D3.1-003	Q791V5;A2AFW7;Q3UA17;Q9D050;A2AFW6;Q05C68	NP_062732	NM_019758	ENSMUST00000057216;ENSMUST00000111470;ENSMUST00000111467	MGI:1929260;MGI:1929260;MGI:1929260;MGI:1929260	303	805159.92	289.5	18.949999999999999	15.949999999999999	1.23	1114.3699999999999
IPI00124820.2;IPI00648746.2;IPI00120764.3;IPI00263646.1;IPI00323600.4;IPI00856886.1;IPI00120762.2	Coronin-1C;Coronin-3	Coro1c	Q9WUM4;Q3TEU8;Q3TF74;Q3U8F0;Q499X7;Q5PPQ7	NP_035909	NM_011779	ENSMUST00000004646	MGI:1345964	474	731558.69	73.02	63.140000000000001	11.69	5.0999999999999996	381.92000000000002
IPI00123342.4	Hypoxia up-regulated protein 1;170 kDa glucose-regulated protein;GRP-170;140 kDa Ca(2+)-binding protein;CBP-140	Hyou1;Grp170	Q9JKR6;Q8VCI2	NP_067370	NM_021395	ENSMUST00000066601	MGI:108030	999	649894.39	89.72	56.170000000000002	24.350000000000001	2.8500000000000001	361.77999999999997
IPI00133555.4;IPI00944801.1	60S ribosome subunit biogenesis protein NIP7 homolog;PEachy;kDa93	Nip7	Q9CXK8	NP_079667;NP_001157944	NM_025391	ENSMUST00000034392	MGI:1913414	180	633907.99	109.4	16.16	11.630000000000001	1.3	1167.1700000000001
IPI00125143.2;IPI00874737.2;IPI00462975.3;IPI00885242.1;IPI00856439.1	Actin-related protein 2/3 complex subunit 1B;Arp2/3 complex 41 kDa subunit;p41-ARC;Actin related protein 2/3 complex, subunit 1B;Putative uncharacterized protein;Actin related protein 2/3 complex, subunit 1B, isoform CRA_a;Actin related protein 2/3 complex, subunit 1B, isoform CRA_b	Arpc1b;mCG_126730	Q9WV32;Q3TBA2;Q3TCE7;Q3U094;Q91Z25;Q9CRC4	NP_075631;XP_486686;XP_910711	NM_023142	ENSMUST00000085679;ENSMUST00000110660	MGI:1343142;MGI:1343142	376	536075.24	65.85	"NA"	15.289999999999999	"NA"	"NA"
IPI00856307.2;IPI00665965.1	UPF0727 protein C6orf115 homolog	NA	Q4KML4	NP_082716	NM_028440	ENSMUST00000020002	MGI:1920362	81	635398.17	71.34	24.890000000000001	10.01	2.2400000000000002	842.89999999999998
IPI00133550.1	H/ACA ribonucleoprotein complex subunit 2;snoRNP protein NHP2;Nucleolar protein family A member 2	Nhp2;Nola2	Q9CRB2;A2AA61	NP_080907	NM_026631	ENSMUST00000001083	MGI:1098547	153	758766.17	96.65	84.75	13.800000000000001	6.04	273.97000000000003
IPI00553784.1;IPI00856839.1;IPI00655088.2;IPI00875023.1;IPI00856428.1	PEST proteolytic signal-containing nuclear protein;Pcnp protein;Putative uncharacterized protein	Pcnp	Q6P8I4;Q3UCC5;Q3KQH9;Q3TM89	NP_001019793	NM_001024622	ENSMUST00000096021;ENSMUST00000114444;ENSMUST00000122253	MGI:1923552;MGI:1923552;MGI:1923552	178	305698.95	51.88	16.59	7.9100000000000001	1.79	674.65999999999997
IPI00387422.3;IPI00408218.1;IPI00228360.3	Putative uncharacterized protein;Zyx protein;Zyxin	Zyx	Q3TCR9;Q3UGQ3;Q8CBM0;Q8CD55;Q7TQE2;Q62523	NP_035907	NM_011777	ENSMUST00000070635;ENSMUST00000031890	MGI:103072;MGI:103072;MGI:103072	564	508957.21	17.97	260.85000000000002	10.75	22.27	120.52
IPI00755329.1;IPI00110852.4;IPI00672270.1	Translocon-associated protein subunit alpha;Signal sequence receptor subunit alpha;Translocon-associated protein alpha, muscle specific isoform	Ssr1;Trap-alpha	Q9CY50;A8C1W9;Q3TV94;Q52PE3	NP_080241;XP_917062	NM_025965	ENSMUST00000021864;ENSMUST00000086842	MGI:105082;MGI:105082	286	894928.19	60.11	19.859999999999999	24.809999999999999	0.98999999999999999	1575.52
IPI00224570.3	cAMP-dependent protein kinase type II-beta regulatory subunit	Prkar2b	P31324;Q3V2X9	NP_035288	NM_011158	ENSMUST00000003079;ENSMUST00000036497	MGI:97760	416	871250.59	70.1	48.090000000000003	13.68	3.48	606.53999999999996
IPI00131873.1;IPI00830393.1;IPI00830412.1	COP9 signalosome complex subunit 6;JAB1-containing signalosome subunit 6	Cops6;Csn6	O88545;Q3UIT2	NP_036132	NM_012002	ENSMUST00000019638	MGI:1349439	324	732651.08	103.28	84.25	12.59	6.4000000000000004	262.14999999999998
IPI00755183.1;IPI00319046.1;IPI00753310.1	Tumor protein D52-like 2;Tumor protein D54;Putative uncharacterized protein;Tumor protein D52-like 2, isoform CRA_c	Tpd52l2;RP23-33L3.2-009;RP23-33L3.2-002;mCG_23059	A2AUD5;Q9CYZ2;A2AUD6;Q9CZ22;Q3TAI4	NP_079758	NM_025482	ENSMUST00000108799;ENSMUST00000000844;ENSMUST00000108802	MGI:1913564;MGI:1913564;MGI:1913564	229	653754.92	76.93	"NA"	12.83	"NA"	"NA"
IPI00113895.1	Alpha-centractin;Centrosome-associated actin homolog;Actin-RPV;ARP1	Actr1a;Ctrn1	P61164	NP_058556	NM_016860	ENSMUST00000040270	MGI:1858964	376	786494.05	83.41	39.729999999999997	11.48	3.23	626.53999999999996
IPI00341282.2	ATP synthase subunit b, mitochondrial	Atp5f1	Q9CQQ7;Q3TJD4;Q3UF04;Q5I0W0;Q64218	NP_033855	NM_009725	ENSMUST00000090671;ENSMUST00000118209	MGI:1100495	256	640198.39	325.17	64.849999999999994	11.66	5.21	253.69999999999999
IPI00315794.1	Cytochrome b5 type B;Cytochrome b5 outer mitochondrial membrane isoform	Cyb5b;Cyb5m	Q9CQX2;Q3TH64;Q3TLE8;Q3TN44	NP_079834	NM_025558	ENSMUST00000034400	MGI:1913677	146	851195.7	260.7	27.550000000000001	15.220000000000001	1.8400000000000001	810.26999999999998
IPI00122743.1;IPI00222457.2;IPI00403416.1	Aspartyl-tRNA synthetase, cytoplasmic;Aspartate--tRNA ligase;Putative uncharacterized protein	Dars	Q922B2;Q3TF87;Q3TMC5;Q3U987;Q3UJQ3;Q8BK18	NP_803228	NM_177445	ENSMUST00000027602	MGI:2442544;MGI:2442544	501	622222.19	603.92	20.489999999999998	14.56	1.4099999999999999	777.12
IPI00111045.1	Mitochondrial import inner membrane translocase subunit TIM50	Timm50;Tim50	Q9D880	NP_079892	NM_025616	ENSMUST00000081946	MGI:1913775	353	713851.6	57.42	50.829999999999998	10.31	4.4699999999999998	497.10000000000002
IPI00129276.2;	Eukaryotic translation initiation factor 3 subunit A;Eukaryotic translation initiation factor 3 subunit 10;eIF-3-theta;eIF3 p167;eIF3 p180;eIF3 p185;p162;Centrosomin	Eif3a;Csma;Eif3;Eif3s10	P23116;Q3TKF9;Q3TRH1;Q3UEK3;Q3UL99;Q3UM46;Q6A0B9	NP_034253	NM_010123	ENSMUST00000025955	MGI:95301	1344	556753.88	49.89	"NA"	10.25	"NA"	"NA"
IPI00222550.8	60S ribosomal protein L37a	Rpl37a	P61514;Q3TLC1;Q3U8M3;Q4VAF2;Q5M9N6;Q9CYW3	NP_033110;XP_001004924;XP_001474797;XP_001479330;XP_911870	NA	ENSMUST00000059980	MGI:98068	97	853418.95	142.7	"NA"	"NA"	"NA"	"NA"
IPI00139259.1	Transformer-2 protein homolog beta;Transformer-2 protein homolog B;Splicing factor, arginine/serine-rich 10;Silica-induced gene 41 protein	Tra2b;Sfrs10;Silg41	P62996-1;P62996;Q5PR75	NP_033212	NM_009186	ENSMUST00000023564	MGI:106016	288	803163.37	79.03	36.149999999999999	7.1600000000000001	4.2199999999999998	711.94000000000005
IPI00314153.4;IPI00882203.1;	Tyrosyl-tRNA synthetase, cytoplasmic;Tyrosyl--tRNA ligase	Yars	Q91WQ3;A2A7S7	NP_598912	NM_134151	ENSMUST00000001365;ENSMUST00000106054	MGI:2147627	564	542291.55	864.87	31.539999999999999	9.8399999999999999	2.8799999999999999	439.58999999999997
IPI00114925.1	Putative uncharacterized protein	Nans	Q3TFB5;Q99J77;Q9JJH0	NP_444409	NM_053179	ENSMUST00000030018	MGI:2149820	359	676047.43	240.01	40.090000000000003	13.6	2.8799999999999999	444.12
IPI00123129.1	Staphylococcal nuclease domain-containing protein 1;p100 co-activator;100 kDa coactivator	Snd1	Q78PY7;Q3TJ56;Q3TRW3;Q3TW51;Q3UZI3	NP_062750	NM_019776	ENSMUST00000001460	MGI:1929266	910	872156.51	62.32	79.209999999999994	22.09	4.1900000000000004	380.37
IPI00230145.5	Ferritin heavy chain	Fth1;Fth	P09528	NP_034369	NM_010239	ENSMUST00000025563	MGI:95588	182	463816.79	13.13	2254.9699999999998	22.91	117.94	15.66
IPI00124700.1;IPI00882008.1	Transferrin receptor protein 1;Putative uncharacterized protein;Transferrin receptor, isoform CRA_c	Tfrc;Trfr;mCG_129940	Q62351;Q542D9;Q8JZS3;Q8C872	NP_035768	NM_011638	ENSMUST00000023486;ENSMUST00000120680	MGI:98822;MGI:98822	763	709126.56	26.24	46.859999999999999	21.239999999999998	2.5600000000000001	754.14999999999998
IPI00454142.5;IPI00454143.3;IPI00420385.4;IPI00133915.1;IPI00830184.1;IPI00330059.2;IPI00230112.1;IPI00410793.2	Septin-11	Sept11;D5Ertd606e	Q8C1B7-1;Q8C1B7;Q8C1B7-2;Q8C1B7-3	NP_001009818	NM_001009818	ENSMUST00000074733	MGI:1277214;MGI:1277214;MGI:1277214	431	692282.42	81.66	52.18	13.9	3.7000000000000002	427.31999999999999
IPI00132093.1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1;Rotamase Pin1;PPIase Pin1	Pin1	Q9QUR7;Q3UTI7	NP_075860	NM_023371	ENSMUST00000034689	MGI:1346036	165	625345.52	65.3	12.789999999999999	24.359999999999999	0.64000000000000001	1665.26
IPI00886236.1;IPI00221828.2;IPI00885279.1	Dephospho-CoA kinase domain-containing protein	Dcakd	Q8BHC4	NP_080827	NM_026551	ENSMUST00000021313	MGI:1915337	231	564938.35	45.2	40.25	13.75	2.8700000000000001	542.69000000000005
IPI00133240.1	Cytochrome b-c1 complex subunit Rieske, mitochondrial;Ubiquinol-cytochrome c reductase iron-sulfur subunit;Rieske iron-sulfur protein;Complex III subunit 5;Cytochrome b-c1 complex subunit 11;Ubiquinol-cytochrome c reductase 8 kDa protein;Complex III subunit IX	Uqcrfs1	Q9CR68	NP_079986	NM_025710	ENSMUST00000042834	MGI:1913944	274	401746.88	99.73	41.490000000000002	9.4800000000000004	3.8799999999999999	294.51999999999998
IPI00224152.5;IPI00928109.1;IPI00928236.1;IPI00928522.1	DNA-(apurinic or apyrimidinic site) lyase;Apurinic-apyrimidinic endonuclease 1;APEX nuclease	Apex1;Ape;Apex	P28352;Q544Z7	NP_033817	NM_009687	ENSMUST00000049411	MGI:88042	317	754706.4	143.91	44.390000000000001	8.4299999999999997	4.5599999999999996	478.66000000000003
IPI00323911.3;IPI00331241.8;IPI00850134.1;IPI00849624.1	Glutathione S-transferase A4;GST A4-4;Glutathione S-transferase 5.7;GST class-alpha member 4	Gsta4;Gsta	P24472	NP_034487	NM_010357	ENSMUST00000034903	MGI:1309515	222	564374.03	401.82	27.48	17.629999999999999	2.0899999999999999	"NA"
IPI00110931.1;IPI00461325.1;IPI00461326.3;IPI00881775.1	H/ACA ribonucleoprotein complex subunit 1;snoRNP protein GAR1;Nucleolar protein family A member 1	Gar1;Nola1	Q9CY66-1;Q9CY66;Q3TKG5;Q9CY66-2;Q9CY66-3	NP_080854	NM_026578	ENSMUST00000029643;ENSMUST00000106366	MGI:1930948;MGI:1930948;MGI:1930948	231	507519.24	72.47	46.530000000000001	5.8700000000000001	6.4000000000000004	357.31999999999999
IPI00410836.1;IPI00928379.1	Flap endonuclease 1;Flap structure-specific endonuclease 1	Fen1;Fen-1	P39749;Q3TGH6;Q8C5X6;Q8C952;Q8R069;Q91Z50;Q99M86	NP_032025	NM_007999	ENSMUST00000025651;ENSMUST00000116542	MGI:102779	411	597608.42	38.58	37.460000000000001	5.4199999999999999	5.5199999999999996	656.92999999999995
IPI00469392.2;IPI00270767.3;IPI00275539.6;IPI00120415.1	Reticulon-4;Neurite outgrowth inhibitor	Rtn4;Kiaa0886;Nogo	Q99P72-2;Q99P72;Q99P72-3	NP_918943;NP_918940	NM_194054	ENSMUST00000060992;ENSMUST00000102843	MGI:1915835;MGI:1915835	1162	677142.39	45.38	44.219999999999999	21.16	2.3999999999999999	593.39999999999998
IPI00119114.2;IPI00894588.1	Long-chain specific acyl-CoA dehydrogenase, mitochondrial	Acadl	P51174	NP_031407	NM_007381	ENSMUST00000027153	MGI:87866	430	551045.63	433.65	21.829999999999998	15.869999999999999	1.6899999999999999	"NA"
IPI00133948.1	FK506-binding protein 2;Peptidyl-prolyl cis-trans isomerase;13 kDa FKBP;FKBP-13	Fkbp2;Fkbp13	P45878;Q3TND1;Q3UND3	NP_001159840;NP_032046	NM_001166368	ENSMUST00000070878	MGI:95542	140	577171.79	134.2	27.859999999999999	11.779999999999999	2.25	600.32000000000005
IPI00315135.3	Mitochondrial import receptor subunit TOM22 homolog;Translocase of outer membrane 22 kDa subunit homolog	Tomm22;Tom22	Q9CPQ3;Q3UBW3	NP_766197	NM_172609	ENSMUST00000023062	MGI:2450248	142	664627.66	46.98	87.310000000000002	9.4199999999999999	8.1999999999999993	290.87
IPI00230003.7;IPI00886025.1	Phosphatidylinositol transfer protein alpha isoform	Pitpna;Pitpn	P53810;Q3TGI6;Q3TIQ3;Q3UE53;Q5ND42	NP_032876	NM_008850	ENSMUST00000102509	MGI:99887	271	595835.54	81.57	39.609999999999999	27.469999999999999	1.8700000000000001	480.64999999999998
IPI00117300.3;IPI00649019.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5;NADH-ubiquinone oxidoreductase 15 kDa subunit;Complex I-15 kDa;NADH dehydrogenase (Ubiquinone) Fe-S protein 5	Ndufs5;RP23-247I20.4-002	Q99LY9;B1ARW4	NP_001025445	NM_001030274	ENSMUST00000030401;ENSMUST00000106206;ENSMUST00000106207	MGI:1890889	106	255722.44	76.07	47.700000000000003	18.34	2.8700000000000001	174.50999999999999
IPI00474157.4;IPI00875326.1	Mitochondrial import receptor subunit TOM40 homolog;Translocase of outer membrane 40 kDa subunit homolog;Mitochondrial outer membrane protein of 35 kDa;Protein Haymaker	Tomm40;Mom35;Tom40	Q9QYA2;Q3UQD0	NP_001103218;NP_058567	NM_001109748	ENSMUST00000093552	MGI:1858259	361	578608.61	95.87	55.810000000000002	10.59	4.8200000000000003	316.86000000000001
IPI00466640.2;IPI00853669.1;IPI00881724.1;IPI00459804.2;IPI00881593.1;IPI00880792.1;IPI00880934.1;	Transmembrane emp24 domain-containing protein 5	Tmed5	Q9CXE7;A2RS96;Q3U9T7;Q8VCE7	NP_083152;XP_001476525;XP_001476544	NM_028876	ENSMUST00000002837	MGI:1921586	229	488107.72	66.42	14.75	11.73	1.1799999999999999	1118.1500000000001
